row_index,label,certainty_score,hedge_score,likes_within_platform_percentile,comments_within_platform_percentile,views_within_platform_percentile,duration_sec_within_platform_percentile,record_id,platform,content_group
116,1,4.901960784313726,2.9411764705882355,0.3148148,0.2674897,0.34773663,0.76954734,youtube:000116,youtube,89db82c6100a6033ba7bf26a743940daaea27daca01d85c49cd69fba182fd2fa
117,2,0.46511627906976744,0.46511627906976744,0.69753087,0.6707819,0.6646091,0.63786006,youtube:000117,youtube,cfa2af2ce54c698030e697bdfdbf70d07a8f1da2bb73d5a2b5dcbd84279c672c
118,3,1.492537313432836,2.2388059701492535,0.5781893,0.7201646,0.72633743,0.24691358,youtube:000118,youtube,d742389f78bb0549a4fe57d5d5dc29252dd01ef21c129631b05efc80ef213862
119,4,1.4285714285714286,0.35714285714285715,0.4218107,0.44032922,0.36419752,0.8703704,youtube:000119,youtube,d574914410dccb5aa7fcf0cb753f168f42343eae3e6081a7edd53dfe2feb81b6
120,1,3.463203463203463,1.2987012987012987,0.9115226,0.8497942,0.8539095,0.63786006,youtube:000120,youtube,fd337df41850862bd696f6dc445e2bed0ba7c24a036fbc265c2ac8529d6f13d4
121,1,2.5210084033613445,2.100840336134454,0.845679,0.87860084,0.7633745,0.7386831,youtube:000121,youtube,ad64d77f9f229f2e8cd4edb035d05fa0237f7ad011ade06af8214fd3f48f49a6
122,1,0.0,3.4482758620689653,0.3271605,0.30246913,0.39300412,0.1563786,youtube:000122,youtube,5b86b795740104fc165e0a8b8a7aac1c6e2b8d3670f55e4120e82d8d6ffc32f0
123,1,3.7313432835820897,2.985074626865672,0.9074074,0.9279835,0.86625516,0.1399177,youtube:000123,youtube,831f467a249df46bb794c5c3ad642b648097377873aaf0340d5a03df116346ab
124,3,0.8403361344537815,0.8403361344537815,0.86625516,0.7757202,0.8127572,0.78600824,youtube:000124,youtube,17bf274d5d383c9853aed5962a761c143ebc92ad51e2e38ec16035be7975c20f
125,4,0.78125,2.34375,0.58230454,0.4979424,0.54115224,0.22839506,youtube:000125,youtube,372d1525786f355fbc734e2c2dfd9b3802aacf94e800e80e24c85c1a2be149ef
126,3,1.6304347826086956,1.0869565217391304,0.9279835,0.8580247,0.8868313,0.63786006,youtube:000126,youtube,4072f457f24d5c9c90ceb8179ebc2cd27ab639b7f03c005e728825bbe8e77db7
127,2,0.0,0.0,0.4382716,0.51028806,0.47942388,0.3580247,youtube:000127,youtube,0bcc75f6dc0b9d6b5b86782cbb576fcd7efd339e463e6c93caad2ff948a78186
128,2,0.42735042735042733,4.273504273504273,0.50823045,0.5308642,0.537037,0.50617284,youtube:000128,youtube,6c762bc019f5e886805878aeb7ef7d71b603952e01a4cc40803725de8fd2d423
129,4,1.1627906976744187,1.1627906976744187,0.71193415,0.7366255,0.70987654,0.057613168,youtube:000129,youtube,df1c2ef81fb71b80324fd9dd4b5d1c89e2ac96562669592f29bf2d6996feb526
130,1,0.0,0.5291005291005291,0.4547325,0.5185185,0.41358024,0.8847737,youtube:000130,youtube,017bbf78fdb4d425f955dd2948a0af589db03cba5abf4bc4d9437e240e984790
131,1,0.625,1.25,0.93209875,0.8744856,0.87860084,0.50617284,youtube:000131,youtube,8429ad32257a459c58ed739d8b575142d93ea14c65b1dad693e7a84f3839fce2
132,2,1.3605442176870748,3.401360544217687,0.8744856,0.7798354,0.89917696,0.5781893,youtube:000132,youtube,1a368dd26f5500b68ca6959ebf2a1fb9eebe21cb9b08ae0c933dddd3aeabda3e
133,3,1.7241379310344827,1.1494252873563218,0.5576132,0.5308642,0.5123457,0.95884776,youtube:000133,youtube,b9967441c2203c07350d8d1d4c6ab4b320c61834b81ef2e0bb3fdde3eedda81b
134,1,0.819672131147541,0.819672131147541,0.590535,0.69753087,0.6152263,0.1399177,youtube:000134,youtube,c8269eda681dba90be3330565d324481ccb520901286f8d755b5ed4d75136e82
135,3,0.6369426751592356,3.1847133757961785,0.8497942,0.8312757,0.7757202,0.4218107,youtube:000135,youtube,0de7cd2a30228ed9b6fe5594d8d079c4e6176a6e77a83ef1e4451eac62ecc375
136,2,3.1690140845070425,3.8732394366197185,0.41769546,0.47325101,0.35596707,0.89917696,youtube:000136,youtube,7ed81ce862faba4065eda1419aee01ac8490b4f4ab8201fb26769321867d67e4
137,1,0.0,3.389830508474576,0.5349794,0.7037037,0.6893004,0.12962963,youtube:000137,youtube,b2a37856a523c71deb5b99c98c308dfba5f881ef7c5e5028be6e1dfd9179470f
