condition_a,condition_b,metric,observed_a_minus_b,bootstrap_mean_a_minus_b,ci_low,ci_high,confidence_level,valid_resamples,higher_is_better
A_COMPLEMENT_NB,C_COMPLEMENT_NB,accuracy,0.03999999999999998,0.040026,-0.06,0.14,0.95,10000,True
A_COMPLEMENT_NB,C_DECISION_TREE,accuracy,0.28,0.280508,0.13999999999999999,0.42000000000000004,0.95,10000,True
A_COMPLEMENT_NB,D_FROZEN_MINILM,accuracy,0.03999999999999998,0.039291999999999994,-0.12,0.18000000000000005,0.95,10000,True
A_COMPLEMENT_NB,E_FINETUNED_BERT,accuracy,0.08000000000000002,0.079662,-0.09999999999999998,0.24000000000000005,0.95,10000,True
A_COMPLEMENT_NB,BASELINE_MOST_FREQUENT,accuracy,0.03999999999999998,0.04002799999999999,-0.08000000000000002,0.16000000000000003,0.95,10000,True
A_COMPLEMENT_NB,BASELINE_STRATIFIED_RANDOM,accuracy,0.18,0.180404,0.020000000000000018,0.33999999999999997,0.95,10000,True
A_DECISION_TREE,B_LOGISTIC_REGRESSION,accuracy,0.019999999999999962,0.01949,-0.12049999999999556,0.16000000000000003,0.95,10000,True
A_DECISION_TREE,B_RIDGE,accuracy,0.07999999999999996,0.079302,-0.08000000000000002,0.24,0.95,10000,True
A_DECISION_TREE,B_COMPLEMENT_NB,accuracy,-0.020000000000000018,-0.020508,-0.16000000000000003,0.12,0.95,10000,True
A_DECISION_TREE,B_DECISION_TREE,accuracy,-0.020000000000000018,-0.019946,-0.06,0.0,0.95,10000,True
A_DECISION_TREE,C_LOGISTIC_REGRESSION,accuracy,-0.06,-0.05994000000000001,-0.2,0.08000000000000002,0.95,10000,True
A_DECISION_TREE,C_RIDGE,accuracy,-0.040000000000000036,-0.040182,-0.18,0.09999999999999998,0.95,10000,True
A_DECISION_TREE,C_COMPLEMENT_NB,accuracy,-0.040000000000000036,-0.040224,-0.18,0.10000000000000003,0.95,10000,True
A_DECISION_TREE,C_DECISION_TREE,accuracy,0.19999999999999998,0.200258,0.08000000000000002,0.30000000000000004,0.95,10000,True
A_DECISION_TREE,D_FROZEN_MINILM,accuracy,-0.040000000000000036,-0.040958,-0.18000000000000005,0.09999999999999998,0.95,10000,True
A_DECISION_TREE,E_FINETUNED_BERT,accuracy,0.0,-0.0005880000000000001,-0.16000000000000003,0.15999999999999998,0.95,10000,True
A_DECISION_TREE,BASELINE_MOST_FREQUENT,accuracy,-0.040000000000000036,-0.040222000000000015,-0.12,0.019999999999999962,0.95,10000,True
A_DECISION_TREE,BASELINE_STRATIFIED_RANDOM,accuracy,0.09999999999999998,0.10015399999999999,-0.020000000000000018,0.22000000000000003,0.95,10000,True
B_LOGISTIC_REGRESSION,B_RIDGE,accuracy,0.06,0.059812,-0.03999999999999998,0.16,0.95,10000,True
B_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,accuracy,-0.03999999999999998,-0.039998,-0.15999999999999998,0.060000000000000026,0.95,10000,True
B_LOGISTIC_REGRESSION,B_DECISION_TREE,accuracy,-0.03999999999999998,-0.039436,-0.18000000000000002,0.12,0.95,10000,True
B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,-0.07999999999999996,-0.07943,-0.2,0.040000000000000036,0.95,10000,True
B_LOGISTIC_REGRESSION,C_RIDGE,accuracy,-0.06,-0.059672,-0.18,0.06,0.95,10000,True
B_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,accuracy,-0.06,-0.05971400000000001,-0.18,0.06,0.95,10000,True
B_LOGISTIC_REGRESSION,C_DECISION_TREE,accuracy,0.18000000000000002,0.18076800000000004,0.03999999999999998,0.33999999999999997,0.95,10000,True
B_LOGISTIC_REGRESSION,D_FROZEN_MINILM,accuracy,-0.06,-0.060448,-0.21999999999999997,0.09999999999999998,0.95,10000,True
B_LOGISTIC_REGRESSION,E_FINETUNED_BERT,accuracy,-0.019999999999999962,-0.020078,-0.16000000000000003,0.12000000000000002,0.95,10000,True
B_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,accuracy,-0.06,-0.059712000000000015,-0.18000000000000002,0.06,0.95,10000,True
B_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,accuracy,0.08000000000000002,0.080664,-0.09999999999999998,0.26,0.95,10000,True
B_RIDGE,B_COMPLEMENT_NB,accuracy,-0.09999999999999998,-0.09981,-0.24000000000000002,0.03999999999999998,0.95,10000,True
B_RIDGE,B_DECISION_TREE,accuracy,-0.09999999999999998,-0.099248,-0.24000000000000002,0.06,0.95,10000,True
B_RIDGE,C_LOGISTIC_REGRESSION,accuracy,-0.13999999999999996,-0.139242,-0.28,0.0,0.95,10000,True
B_RIDGE,C_RIDGE,accuracy,-0.12,-0.11948400000000002,-0.25999999999999995,0.019999999999999962,0.95,10000,True
B_RIDGE,C_COMPLEMENT_NB,accuracy,-0.12,-0.119526,-0.26,0.020000000000000018,0.95,10000,True
B_RIDGE,C_DECISION_TREE,accuracy,0.12000000000000002,0.12095600000000002,0.0,0.24049999999999275,0.95,10000,True
B_RIDGE,D_FROZEN_MINILM,accuracy,-0.12,-0.12025999999999999,-0.28,0.03999999999999998,0.95,10000,True
B_RIDGE,E_FINETUNED_BERT,accuracy,-0.07999999999999996,-0.07989,-0.22000000000000003,0.06,0.95,10000,True
B_RIDGE,BASELINE_MOST_FREQUENT,accuracy,-0.12,-0.11952400000000002,-0.24000000000000002,0.0,0.95,10000,True
B_RIDGE,BASELINE_STRATIFIED_RANDOM,accuracy,0.020000000000000018,0.020852000000000002,-0.16000000000000003,0.2,0.95,10000,True
B_COMPLEMENT_NB,B_DECISION_TREE,accuracy,0.0,0.0005620000000000002,-0.14,0.14,0.95,10000,True
B_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,accuracy,-0.03999999999999998,-0.039432,-0.13999999999999996,0.06,0.95,10000,True
B_COMPLEMENT_NB,C_RIDGE,accuracy,-0.020000000000000018,-0.019674,-0.13999999999999996,0.09999999999999998,0.95,10000,True
B_COMPLEMENT_NB,C_COMPLEMENT_NB,accuracy,-0.020000000000000018,-0.019716,-0.08000000000000002,0.040000000000000036,0.95,10000,True
B_COMPLEMENT_NB,C_DECISION_TREE,accuracy,0.22,0.220766,0.0795000000000044,0.38,0.95,10000,True
B_COMPLEMENT_NB,D_FROZEN_MINILM,accuracy,-0.020000000000000018,-0.02045,-0.15999999999999998,0.12,0.95,10000,True
B_COMPLEMENT_NB,E_FINETUNED_BERT,accuracy,0.020000000000000018,0.01992,-0.14,0.18,0.95,10000,True
B_COMPLEMENT_NB,BASELINE_MOST_FREQUENT,accuracy,-0.020000000000000018,-0.01971400000000002,-0.14,0.09999999999999998,0.95,10000,True
B_COMPLEMENT_NB,BASELINE_STRATIFIED_RANDOM,accuracy,0.12,0.12066199999999999,-0.06,0.3,0.95,10000,True
B_DECISION_TREE,C_LOGISTIC_REGRESSION,accuracy,-0.03999999999999998,-0.039994,-0.18000000000000005,0.09999999999999998,0.95,10000,True
B_DECISION_TREE,C_RIDGE,accuracy,-0.020000000000000018,-0.020236,-0.16000000000000003,0.12,0.95,10000,True
B_DECISION_TREE,C_COMPLEMENT_NB,accuracy,-0.020000000000000018,-0.020278,-0.16000000000000003,0.12,0.95,10000,True
B_DECISION_TREE,C_DECISION_TREE,accuracy,0.22,0.22020399999999998,0.12000000000000002,0.30000000000000004,0.95,10000,True
B_DECISION_TREE,D_FROZEN_MINILM,accuracy,-0.020000000000000018,-0.021012,-0.15999999999999998,0.10000000000000003,0.95,10000,True
B_DECISION_TREE,E_FINETUNED_BERT,accuracy,0.020000000000000018,0.019357999999999997,-0.13999999999999996,0.16000000000000003,0.95,10000,True
B_DECISION_TREE,BASELINE_MOST_FREQUENT,accuracy,-0.020000000000000018,-0.02027600000000002,-0.08000000000000002,0.03999999999999998,0.95,10000,True
B_DECISION_TREE,BASELINE_STRATIFIED_RANDOM,accuracy,0.12,0.1201,0.0,0.24000000000000002,0.95,10000,True
C_LOGISTIC_REGRESSION,C_RIDGE,accuracy,0.019999999999999962,0.019757999999999998,-0.06,0.10000000000000003,0.95,10000,True
C_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,accuracy,0.019999999999999962,0.019716,-0.09999999999999998,0.14,0.95,10000,True
C_LOGISTIC_REGRESSION,C_DECISION_TREE,accuracy,0.26,0.260198,0.12,0.4,0.95,10000,True
C_LOGISTIC_REGRESSION,D_FROZEN_MINILM,accuracy,0.019999999999999962,0.018982,-0.12,0.16000000000000003,0.95,10000,True
C_LOGISTIC_REGRESSION,E_FINETUNED_BERT,accuracy,0.06,0.059351999999999995,-0.12,0.24,0.95,10000,True
